tooltip_id,label,object,property
"button-cmd-mm-roll-dr","Rotation Roll Disc Rate","button_light_mm_roll_dr","/controls/shuttle/button_cmd_mm_roll_dr-ss"
"button-cmd-mm-roll-pulse","Rotation Roll Pulse","button_light_mm_roll_pulse","/controls/shuttle/button_cmd_mm_roll_pulse-ss"
"button-cmd-mm-pitch-dr","Rotation Pitch Disc Rate","button_light_mm_pitch_dr","/controls/shuttle/button_cmd_mm_pitch_dr-ss"
"button-cmd-mm-pitch-pulse","Rotation Pitch Pulse","button_light_mm_pitch_pulse","/controls/shuttle/button_cmd_mm_pitch_pulse-ss"
"button-cmd-mm-yaw-dr"," Rotation Yaw Disc Rate","button_light_mm_yaw_dr","/controls/shuttle/button_cmd_mm_yaw_dr-ss"
"button-cmd-mm-yaw-pulse"," Rotation Yaw Pulse","button_light_mm_yaw_pulse","/controls/shuttle/button_cmd_mm_yaw_pulse-ss"
"srb-sep","SRB Separation Mode: %s","srb-sep","/controls/shuttle/srb-separation-mode"
"button_srb_sep","Separate SRB's","button_light_srb_sep","/controls/shuttle/button_srb_sep-ss"
"et-sep","ET Separation Mode: %s","et-sep","/controls/shuttle/et-separation-mode"
"button_et_sep","Separate External Tank","button_light_et_sep","/controls/shuttle/button_et_sep-ss"
"sband-pm","SBand: %s","sband-pm","/fdm/jsbsim/systems/sband/sband-pm"
"cautio-warning-mode","Caution and Warning Mode Select: %s","caution-warning-mode","/fdm/jsbsim/systems/cws/cw-mode"
"main-eng-sd-left-cvr","Remove Cover","main-eng-sd-left-cvr","/sim/model/panel/cover/main-eng-sd-left-cvr"
"main-eng-sd-right-cvr","Remove Cover","main-eng-sd-right-cvr","/sim/model/panel/cover/main-eng-sd-right-cvr"
"main-eng-sd-ctr-cvr","Remove Cover","main-eng-sd-ctr-cvr","/sim/model/panel/cover/main-eng-sd-ctr-cvr"
"srb-sep-cvr","Remove Cover","srb-sep-cvr","/sim/model/panel/cover/srb-sep-cvr"
"et-sep-cvr","Remove Cover","et-sep-cvr","/sim/model/panel/cover/et-sep-cvr"
"air-data-probe-cvr","Remove Cover","air-data-probe-cvr","/sim/model/panel/cover/air-data-probe-cvr"
"remove-covers","Remove Cover","oms-arm-cvr","/sim/model/panel/cover/oms-arm-cvr"
"oms-arm-cvr","Remove Cover","oms-arm-cvr","/sim/model/panel/cover/oms-arm-cvr"
"man-sb-thrust-sel-cmd","Commander Man Speed Brake/Thrust Select: %s","man-sb-thrust-sel-cmd","/controls/shuttle/man-sb-thrust-select"
"man-sb-thrust-cmd","Commander Man Speed Brake/Thrust: %s","man-sb-thrust-sel-cmd","/fdm/jsbsim/fcs/throttle-cmd-norm[0]"
"man-sb-thrust-sel-plt","Pilot Man Speed Brake/Thrust Select: %s","man-sb-thrust-sel-plt","/controls/shuttle/man-sb-thrust-select"
"man-sb-thrust-plt","Pilot Man Speed Brake/Thrust: %s","man-sb-thrust-sel-plt","/fdm/jsbsim/fcs/throttle-cmd-norm[0]"
"button_bf_cmd","Body Flap Mode","button_light_bf_man_cmd","/controls/shuttle/button_bf_cmd-ss"
"button_sb_cmd","Speed Brake Mode","button_light_sb_man_cmd","/controls/shuttle/button_sb_cmd-ss"
"button_pitch_css_cmd","CSS Pitch: %s","button_light_pitch_css_cmd","/controls/shuttle/button_pitch_css_cmd-ss"
"button_pitch_auto_cmd","Auto Pitch: %s","button_light_pitch_auto_cmd","/controls/shuttle/button_pitch_auto_cmd-ss"
"button_roll-yaw_css_cmd","CSS Roll/Yaw: %s","button_light_roll-yaw_css_cmd","/controls/shuttle/button_roll-yaw_css_cmd-ss"
"button_roll-yaw_auto_cmd","Auto Roll/Yaw: %s","button_light_roll-yaw_auto_cmd","/controls/shuttle/button_roll-yaw_auto_cmd-ss"
"button_chute_arm_cmd","Arm Drag Chute","button_light_chute_arm_cmd","/controls/shuttle/button_chute_arm_cmd-ss"
"button_chute_dpy_cmd","Deploy Drag Chute","button_light_chute_dpy_cmd","/controls/shuttle/button_chute_dpy_cmd-ss"
"master-alarm-cmd","Press to Turn off Alarm","button_master-alarm_cmd","/controls/shuttle/button_master-alarm_cmd-ss"
"chute-arm-cmd-cvr","Remove Cover","chute-arm-cmd-cvr","/sim/model/panel/cover/chute-arm-cmd-cvr"
"chute-dpy-cmd-cvr","Remove Cover","chute-dpy-cmd-cvr","/sim/model/panel/cover/chute-dpy-cmd-cvr"
"button_chute_arm_plt","Arm Drag Chute","button_light_chute_arm_plt","/controls/shuttle/button_chute_arm_plt-ss"
"button_chute_dpy_plt","Deploy Drag Chute","button_light_chute_dpy_plt","/controls/shuttle/button_chute_dpy_plt-ss"
"button_chute_jett_cmd","Jettison Drag Chute","button_light_chute_jett_cmd","/controls/shuttle/button_chute_jett_cmd-ss"
"chute-arm-plt-cvr","Remove Cover","chute-arm-plt-cvr","/sim/model/panel/cover/chute-arm-plt-cvr"
